"id","issue_id","emp_id","task","state","priority","start_date","due_date","estimate","labels","task_ended","relates_to","sub_issue","blocked_by","module","cycle"
1,"MW-4",3,"API Design","closed","urgent","2025-03-03","2025-03-07",13,"{""Requirement Analysis""}","2025-03-28",NULL,NULL,NULL,NULL,"Sprint 1"
2,"MW-4",2,"API Design","closed","urgent","2025-03-03","2025-03-07",13,"{BackEnd}","2025-03-20",NULL,NULL,NULL,NULL,"Sprint 1"
3,"MW-10",1,"Moonwalk web AUTH Flow","closed","urgent","2025-03-10","2025-03-14",3,"{""Requirement Analysis""}","2025-03-21","{MW-12}",NULL,NULL,"Authentication","Sprint 2"
4,"MW-11",1,"Product Backlogs","closed","urgent","2025-03-10","2025-03-14",13,"{""Requirement Analysis""}","2025-03-05",NULL,NULL,NULL,NULL,"Sprint 2"
5,"MW-12",1,"Flowchart","closed","urgent","2025-03-10","2025-03-14",13,"{""Requirement Analysis""}","2025-03-28",NULL,"{MW-28,MW-23,MW-10}",NULL,NULL,"Sprint 2"
6,"MW-1",1,"Low-Fidelity Prototype","closed","urgent","2025-03-17","2025-03-28",13,"{""Requirement Analysis""}","2025-03-20",NULL,NULL,NULL,NULL,"Sprint 3"
7,"MW-1",5,"Low-Fidelity Prototype","closed","urgent","2025-03-17","2025-03-28",13,"{""Requirement Analysis""}","2025-03-19",NULL,NULL,NULL,NULL,"Sprint 3"
8,"MW-5",4,"Schema","in progress","medium","2025-03-17","2025-04-28",8,"{""Data Science""}","2025-04-05",NULL,NULL,NULL,NULL,"Sprint 3"
9,"MW-7",4,"Supervised learning","aut","high","2025-03-31","2025-04-04",3,"{""Data Science""}","2025-04-04",NULL,NULL,NULL,NULL,"Sprint 4"
10,"MW-8",5,"Refinements","closed","low","2025-03-31","2025-04-04",13,"{UI}","2025-04-03",NULL,NULL,NULL,NULL,"Sprint 4"
11,"MW-6",2,"Design","backlog","high","2025-03-31","2025-04-04",13,"{UI}","2025-04-04",NULL,NULL,NULL,NULL,"Sprint 4"
12,"MW-4",1,"Schema","to do","urgent","2025-03-03","2025-03-07",5,"{""Requirement Analysis""}",NULL,NULL,NULL,NULL,NULL,"Sprint 1"
13,"MW-4",4,"UI Design","closed","urgent","2025-03-03","2025-03-07",8,"{BackEnd}","2025-03-07",NULL,NULL,NULL,NULL,"Sprint 1"
14,"MW-10",5,"Moonwalk mobile AUTH Flow","closed","urgent","2025-03-03","2025-03-07",13,"{""Requirement Analysis""}","2025-03-06","{MW-12}",NULL,NULL,"Authentication","Sprint 1"
15,"MW-11",1,"Refinements","closed","urgent","2025-03-03","2025-03-07",13,"{""Requirement Analysis""}","2025-03-07",NULL,NULL,NULL,NULL,"Sprint 1"
16,"MW-12",2,"Cards","aut","urgent","2025-03-03","2025-03-07",5,"{""Requirement Analysis""}","2025-03-07",NULL,"{MW-28,MW-23,MW-10}",NULL,NULL,"Sprint 1"
17,"MW-1",3,"UI Prototype","in progress","urgent","2025-03-03","2025-03-07",8,"{""Requirement Analysis""}",NULL,NULL,NULL,NULL,NULL,"Sprint 1"
18,"MW-1",4,"UI Prototype","in progress","urgent","2025-03-03","2025-03-07",8,"{""Requirement Analysis""}",NULL,NULL,NULL,NULL,NULL,"Sprint 1"
