month,cycle,days,assigned_tasks,completed_tasks,task_backlog,task_completion_rate_total,task_start_date,task_ended,task_due_date,minimum_working_hours,overtime_frequency,overtime_hours,total_work_hours,avg_working_hours,num_high_priority_tasks,num_leaves_taken,total_leave_days,total_leave_credits,burnout_risk
2023-01,Sprint3,5,2,0,2,0.0,2023-01-24,,2023-01-29,8,0,0,40,40,2,5,25,5,20
2023-10,Sprint4,5,1,0,1,0.0,2023-10-07,,2023-10-12,8,1,3,43,40,0,4,8,5,10
2024-04,Sprint4,10,1,0,1,0.0,2024-04-23,,2024-05-03,8,3,6,86,80,1,1,2,2,40
2024-02,Sprint1,10,1,1,0,100.0,2024-02-12,2024-02-22,2024-02-22,8,2,2,82,80,1,4,4,4,10
2024-02,Sprint5,10,6,4,2,66.67,2024-02-12,2024-02-22,2024-02-22,8,1,3,83,80,0,0,0,0,25
2024-02,Sprint2,5,4,2,2,50.0,2024-02-15,2024-02-20,2024-02-20,8,2,2,42,40,2,2,4,4,20
2024-12,Sprint1,5,5,5,0,100.0,2024-12-08,2024-12-13,2024-12-13,8,1,2,42,40,3,2,10,5,20
2023-11,Sprint3,5,2,0,2,0.0,2023-11-11,,2023-11-16,8,3,6,46,40,0,1,5,5,30
2024-04,Sprint4,10,6,3,3,50.0,2024-04-05,2024-04-15,2024-04-15,8,2,2,82,80,1,5,25,5,30
2024-12,Sprint5,10,5,3,2,60.0,2024-12-12,2024-12-22,2024-12-22,8,1,1,81,80,4,3,3,3,20
2023-02,Sprint2,5,6,3,3,50.0,2023-02-20,2023-02-25,2023-02-25,8,0,0,40,40,3,3,15,5,40
2024-09,Sprint3,5,6,5,1,83.33,2024-09-04,2024-09-09,2024-09-09,8,2,6,46,40,2,0,0,0,40
2024-03,Sprint4,5,6,5,1,83.33,2024-03-09,2024-03-14,2024-03-14,8,1,3,43,40,0,5,15,5,10
2023-03,Sprint3,5,5,4,1,80.0,2023-03-01,2023-03-06,2023-03-06,8,2,4,44,40,0,0,0,0,10
2024-04,Sprint1,5,5,0,5,0.0,2024-04-03,,2024-04-08,8,3,3,43,40,4,1,2,2,40
2024-09,Sprint2,10,5,4,1,80.0,2024-09-14,2024-09-24,2024-09-24,8,1,3,83,80,5,5,10,5,20
2024-07,Sprint3,10,5,3,2,60.0,2024-07-04,2024-07-14,2024-07-14,8,1,1,81,80,0,2,2,2,10
2023-10,Sprint2,5,1,0,1,0.0,2023-10-08,,2023-10-13,8,0,0,40,40,0,2,2,2,10
2023-05,Sprint4,5,5,1,4,20.0,2023-05-24,2023-05-29,2023-05-29,8,3,3,43,40,3,3,6,5,40
2023-02,Sprint4,10,4,3,1,75.0,2023-02-15,2023-02-25,2023-02-25,8,0,0,80,80,0,0,0,0,0
2024-02,Sprint2,5,2,2,0,100.0,2024-02-15,2024-02-20,2024-02-20,8,1,2,42,40,0,2,8,5,0
2023-02,Sprint4,5,1,0,1,0.0,2023-02-03,,2023-02-08,8,1,1,41,40,1,3,12,5,20
2023-07,Sprint1,5,4,0,4,0.0,2023-07-13,,2023-07-18,8,2,4,44,40,2,3,15,5,30
2024-03,Sprint2,10,2,0,2,0.0,2024-03-19,,2024-03-29,8,0,0,80,80,2,2,2,2,20
2023-10,Sprint4,5,1,0,1,0.0,2023-10-06,,2023-10-11,8,0,0,40,40,0,5,10,5,10
2024-02,Sprint5,5,5,4,1,80.0,2024-02-02,2024-02-07,2024-02-07,8,0,0,40,40,3,5,25,5,20
2024-05,Sprint2,10,2,1,1,50.0,2024-05-13,2024-05-23,2024-05-23,8,1,3,83,80,2,2,8,5,20
2024-02,Sprint1,10,5,4,1,80.0,2024-02-04,2024-02-14,2024-02-14,8,0,0,80,80,4,1,5,5,20
2024-03,Sprint3,5,2,1,1,50.0,2024-03-10,2024-03-15,2024-03-15,8,1,2,42,40,2,5,15,5,20
2023-11,Sprint5,10,6,0,6,0.0,2023-11-05,,2023-11-15,8,2,2,82,80,0,5,25,5,30
2023-05,Sprint3,5,6,2,4,33.33,2023-05-07,2023-05-12,2023-05-12,8,2,6,46,40,3,2,2,2,60
2023-11,Sprint4,10,1,0,1,0.0,2023-11-11,,2023-11-21,8,1,3,83,80,1,1,4,4,20
2024-09,Sprint1,5,1,0,1,0.0,2024-09-18,,2024-09-23,8,0,0,40,40,1,4,20,5,20
2023-07,Sprint2,5,3,2,1,66.67,2023-07-02,2023-07-07,2023-07-07,8,2,2,42,40,1,5,5,5,10
2024-09,Sprint4,5,2,0,2,0.0,2024-09-06,,2024-09-11,8,3,3,43,40,0,5,15,5,10
2024-11,Sprint2,10,2,2,0,100.0,2024-11-04,2024-11-14,2024-11-14,8,3,3,83,80,1,1,2,2,10
2024-06,Sprint3,5,2,0,2,0.0,2024-06-22,,2024-06-27,8,1,2,42,40,1,2,2,2,20
